name,cases,date,day,diff
Egypt,126,2020-03-15,0,1.575
Egypt,166,2020-03-16,1,1.3174603174603174
Egypt,196,2020-03-17,2,1.180722891566265
Egypt,210,2020-03-19,3,1.0714285714285714
Egypt,256,2020-03-20,4,1.2190476190476192
Estonia,10,2020-03-09,-2,NA
Estonia,41,2020-03-13,-1,4.1
Estonia,115,2020-03-15,0,2.8048780487804876
Estonia,171,2020-03-16,1,1.4869565217391305
Estonia,205,2020-03-17,2,1.1988304093567252
Estonia,258,2020-03-18,3,1.2585365853658537
Estonia,267,2020-03-19,4,1.0348837209302326
Estonia,283,2020-03-21,5,1.0599250936329587
Finland,7,2020-03-02,-6,NA
Finland,12,2020-03-05,-5,1.7142857142857142
Finland,19,2020-03-07,-4,1.5833333333333333
Finland,23,2020-03-08,-3,1.2105263157894737
Finland,30,2020-03-09,-2,1.3043478260869565
Finland,59,2020-03-11,-1,1.9666666666666666
Finland,109,2020-03-13,0,1.847457627118644
Finland,210,2020-03-14,1,1.926605504587156
Finland,272,2020-03-16,2,1.2952380952380953
Finland,319,2020-03-17,3,1.1727941176470589
Finland,333,2020-03-18,4,1.0438871473354232
Finland,400,2020-03-19,5,1.2012012012012012
Finland,450,2020-03-20,6,1.125
France,18,2020-02-26,-3,NA
France,38,2020-02-27,-2,2.111111111111111
France,57,2020-02-28,-1,1.5
France,100,2020-02-29,0,1.7543859649122806
France,130,2020-03-01,1,1.3
France,191,2020-03-02,2,1.4692307692307693
France,285,2020-03-04,3,1.4921465968586387
France,423,2020-03-05,4,1.4842105263157894
France,613,2020-03-06,5,1.4491725768321513
France,949,2020-03-07,6,1.5481239804241436
France,1126,2020-03-08,7,1.1865121180189673
France,1412,2020-03-09,8,1.2539964476021315
France,1784,2020-03-10,9,1.2634560906515582
France,2281,2020-03-11,10,1.2785874439461884
France,2876,2020-03-12,11,1.26085050416484
France,3661,2020-03-13,12,1.2729485396383866
France,4499,2020-03-14,13,1.2288992078667031
France,5423,2020-03-15,14,1.2053789731051345
France,6633,2020-03-16,15,1.2231237322515214
France,7730,2020-03-17,16,1.1653851952359415
France,9134,2020-03-18,17,1.1816300129366106
France,10995,2020-03-19,18,1.2037442522443618
France,12612,2020-03-20,19,1.1470668485675306
Germany,27,2020-02-26,-3,NA
Germany,48,2020-02-27,-2,1.7777777777777777
Germany,79,2020-02-29,-1,1.6458333333333333
Germany,130,2020-03-01,0,1.6455696202531647
Germany,165,2020-03-02,1,1.2692307692307692
Germany,262,2020-03-04,2,1.587878787878788
Germany,400,2020-03-05,3,1.5267175572519085
Germany,639,2020-03-06,4,1.5975
Germany,800,2020-03-07,5,1.2519561815336464
Germany,1040,2020-03-08,6,1.3
Germany,1224,2020-03-09,7,1.176923076923077
Germany,1458,2020-03-10,8,1.1911764705882353
Germany,1908,2020-03-11,9,1.308641975308642
Germany,2512,2020-03-12,10,1.3165618448637317
Germany,3116,2020-03-13,11,1.2404458598726114
Germany,4181,2020-03-14,12,1.3417843388960204
Germany,4585,2020-03-15,13,1.0966276010523799
