datetime,no_measure,measure_strength1,measure_strength2,measure_strength3,measure_strength4
2020-03-17,8003.020759403947,5291.309600636917,11985.48262650007,12706.698320344918,10213.168819516231
2020-03-18,10512.91246666817,7106.268151872133,15831.055420557052,16342.371565689757,12960.073378693443
2020-03-19,13809.951498871089,9526.977610627053,20766.895378648453,20737.768895828824,16184.62825803932
2020-03-20,18141.001459476112,12742.38279806166,27003.631282639137,25897.467604767266,19841.614271108607
2020-03-21,23830.346832109928,16990.16374398207,34729.97980421033,31749.11123195441,23830.346832109928
2020-03-22,31303.973565473243,22561.56897073306,44070.855447234964,38131.59160998233,28000.0
2020-03-23,41121.46448776986,29800.506152391386,55035.985644951084,44803.56801357443,32169.653167890072
2020-03-24,54017.89769858421,39091.77101950322,67471.60211449182,51475.54441716654,36158.3857288914
2020-03-25,70958.885052417,50831.852886462846,81035.32594359951,57858.02479519446,39815.371741960684
2020-03-26,93212.87170370753,65375.99353507795,95214.27205429772,63709.668422381605,43039.92662130655
2020-03-27,122446.11009366316,82959.33303291186,109393.21816499592,68869.36713132003,45786.83118048377
2020-03-28,160847.41949295753,103600.1823785908,122956.94199410363,73264.76446145911,48058.946000419826
2020-03-29,211292.07238803405,127009.08691872083,135392.55846364435,76900.43770680396,49893.00513403536
2020-03-30,277557.0785951271,152541.5498329615,146357.68866136044,79835.16603301327,51344.50516491042
2020-03-31,364603.9863567756,179232.11212216987,155698.5643043851,82157.75104569242,52475.38644888632
2020-04-01,478950.3749647323,205922.67441137825,163424.9128259563,83967.30520718858,53345.76254668455
2020-04-02,629157.8541721961,231455.1373256189,169661.648729947,85360.01787487046,54009.35940484521
2020-04-03,826473.1090266088,254864.04186574896,174597.4886880384,86421.85740944886,54511.67645161862
2020-04-04,1085669.9879282773,275504.89121142786,178443.06148209533,87225.62869407353,54889.84453792079
2020-04-05,1426155.6846978283,293088.2307092618,181402.78385942816,87830.74582175934,55173.381002636146
2020-04-06,1873423.839298667,307632.3713578769,183659.3514232598,88284.44029608801,55385.31250379845
2020-04-07,2460963.3571640477,319372.45322483656,185367.4854214382,88623.55770417886,55543.3579667487
2020-04-08,3232765.868705599,328663.71809194837,186653.44967327494,88876.45058448345,55661.016258429496
2020-04-09,4246619.573365402,335902.65527360665,187617.61817644356,89064.71884425779,55748.49601104452
